user_id,txn_id,amount,category,merchant,location,txn_time
U001,T001,12.5,Food,Tesco,London,05/01/2025 09:15
U001,T002,4.2,Food,Starbucks,London,05/01/2025 11:30
U001,T003,45,Transport,Uber,London,06/01/2025 23:45
U001,T004,120,Shopping,Amazon,Online,07/01/2025 14:10
U001,T005,9.99,Entertainment,Netflix,Online,08/01/2025 20:00
U001,T006,250,Electronics,Currys,London,09/01/2025 16:30
U001,T007,3,Food,Local Cafe,London,10/01/2025 08:20
U001,T008,1800,Electronics,Apple Store,London,11/01/2025 22:50
U001,T009,15,Transport,Bus,London,12/01/2025 07:40
U001,T010,600,Travel,British Airways,Online,13/01/2025 02:15
U001,T011,7.5,Food,McDonalds,London,14/01/2025 13:00
U001,T012,95,Shopping,H&M,London,15/01/2025 18:45
U001,T013,2.8,Food,Pret A Manger,London,16/01/2025 09:10
U001,T014,400,Travel,Booking.com,Online,17/01/2025 01:30
U001,T015,10,Food,Subway,London,18/01/2025 12:25
